STT,lop,gioitinh,hocluc,thaido,B.1.1,B1.2,B1.3,B1.4,B1.5,B2.1,B2.2,B2.3,B2.4,B3.1,B3.2,B3.3,C1.1.1,C1.1.2,C1.1.3,C1.1.4,C1.2.1,C1.2.2,C1.2.3,C1.2.4,C1.3.1,C1.3.2,C1.3.3,C1.3.4,C1.4.1,C1.4.2,C1.4.3,C1.4.4,C1.5.1,C1.5.2,C1.5.3,C1.5.4,C2.1.1,C2.1.2,C2.1.3,C2.1.4,C2.2.1,C2.2.2,C2.2.3,C2.2.4,C2.3.1,C2.3.2,C2.3.3,C2.3.4,C3.1.1,C3.1.2,C3.1.3,C3.1.4,C3.2.1,C3.2.2,C3.2.3,C3.2.4,C3.3.1,C3.3.2,C3.3.3,C3.3.4,C3.4.1,C3.4.2,C3.4.3,C3.4.4,C3.5.1,C3.5.2,C3.5.3,C3.5.4,C3.6.1,C3.6.2,C3.6.3,C3.6.4,C1,C2,C3
72,3,1,3,1,2,3,3,2,5,3,4,2,3,2,2,3,2,1,2,2,2,1,2,1,2,4,4,3,2,2,2,2,3,2,2,2,4,3,3,4,2,3,3,4,3,3,4,3,2,2,2,1,1,2,2,3,4,4,4,4,4,4,3,4,4,4,4,4,2,3,4,4,2.15,3.25,3.125
73,3,2,3,2,3,3,3,4,3,4,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3,3,2,2,3,2,3,3,3,3,2,4,3,3,5,5,5,5,2,2,2,1,2,1,2,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,2.55,3.66666666666667,3.125
74,2,1,3,1,2,3,3,4,5,3,4,4,4,4,4,3,1,1,2,2,2,1,2,2,4,3,4,4,2,2,2,2,2,2,3,2,4,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,1,2,2,1,4,5,5,3,4,4,4,4,3,3,3,4,4,4,5,5,2.25,3.16666666666667,3.41666666666667
75,3,1,3,2,3,3,3,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,4,3,4,4,3,2,3,3,2,3,3,3,4,4,4,3,2,3,2,3,3,3,3,3,3,3,3,3,1,2,2,2,3,3,3,3,3,4,3,3,4,5,4,5,3,2,3,2,3,3.08333333333333,3
76,3,2,3,2,2,3,4,3,2,3,2,3,3,4,3,3,3,3,3,3,2,2,2,2,3,4,4,3,2,3,2,1,2,2,2,2,4,4,4,4,3,3,3,3,3,5,5,5,3,2,2,1,3,3,3,3,5,4,4,4,3,3,3,4,2,2,2,2,5,5,5,5,2.5,3.83333333333333,3.25
77,3,1,4,1,2,4,2,3,3,2,3,3,2,3,3,4,1,2,2,1,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,2,2,2,4,4,3,3,3,3,3,4,1,2,2,1,4,5,5,4,4,4,4,3,3,3,3,4,5,5,5,4,2.75,2.66666666666667,3.5
78,3,1,3,2,2,3,3,2,5,3,4,4,3,2,2,3,2,2,2,1,1,2,2,1,2,1,3,3,2,2,2,2,2,2,3,2,2,3,2,3,4,4,4,4,3,2,3,3,4,4,4,4,2,1,2,2,4,4,4,4,4,3,3,4,3,2,3,3,3,3,2,2,1.95,3.08333333333333,3.08333333333333
79,3,2,2,2,2,3,3,3,2,4,3,3,4,2,2,3,3,3,3,3,2,1,2,1,3,2,3,4,3,2,3,3,2,3,2,2,3,3,3,3,2,3,2,2,3,4,4,4,2,2,3,3,2,2,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,4,4,4,2.5,3,3.16666666666667
80,2,2,3,2,2,3,3,3,3,3,4,4,4,2,4,3,2,3,2,2,2,2,3,1,3,3,3,3,4,4,4,4,2,2,3,2,4,4,3,4,4,4,4,4,2,3,3,3,2,2,3,4,3,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,2.7,3.5,3.25
81,3,1,3,2,2,3,2,2,3,3,3,4,4,3,3,3,3,2,2,2,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,4,4,3,4,4,4,4,3,1,2,2,3,4,3,3,4,3,3,3,3,4,4,4,4,4,5,3,5,2.45,3.08333333333333,3.41666666666667
