STT,lop,gioitinh,hocluc,thaido,B.1.1,B1.2,B1.3,B1.4,B1.5,B2.1,B2.2,B2.3,B2.4,B3.1,B3.2,B3.3,C1.1.1,C1.1.2,C1.1.3,C1.1.4,C1.2.1,C1.2.2,C1.2.3,C1.2.4,C1.3.1,C1.3.2,C1.3.3,C1.3.4,C1.4.1,C1.4.2,C1.4.3,C1.4.4,C1.5.1,C1.5.2,C1.5.3,C1.5.4,C2.1.1,C2.1.2,C2.1.3,C2.1.4,C2.2.1,C2.2.2,C2.2.3,C2.2.4,C2.3.1,C2.3.2,C2.3.3,C2.3.4,C3.1.1,C3.1.2,C3.1.3,C3.1.4,C3.2.1,C3.2.2,C3.2.3,C3.2.4,C3.3.1,C3.3.2,C3.3.3,C3.3.4,C3.4.1,C3.4.2,C3.4.3,C3.4.4,C3.5.1,C3.5.2,C3.5.3,C3.5.4,C3.6.1,C3.6.2,C3.6.3,C3.6.4,C1,C2,C3
129,2,1,3,2,3,5,5,3,4,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,4,3,2,2,3,2,2,3,3,3,3,3,3,2,1,2,2,1,4,3,4,3,2,3,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,3,4,1,4,2,3,2.65,2.58333333333333,3.20833333333333
130,2,2,3,1,5,3,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,4,2,2,3,3,3,4,4,3,4,2,2,1,2,2,2,2,3,4,3,4,4,3,3,3,4,3,3,3,3,3,4,4,4,2.7,3,2.95833333333333
131,2,2,3,2,5,5,3,4,5,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4,3,3,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3,4,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,3,3,3,5,2,4,4,4,2.65,3.08333333333333,3.58333333333333
132,2,1,3,1,5,3,3,4,3,2,4,2,2,2,2,2,2,2,1,1,2,2,3,2,4,4,3,4,2,4,4,3,2,2,1,2,3,3,3,3,2,3,2,3,3,5,5,2,4,4,4,4,4,2,4,4,3,4,3,4,4,4,4,4,3,3,3,3,5,4,4,3,2.5,3.08333333333333,3.66666666666667
133,2,2,3,2,3,4,4,3,5,2,4,2,3,3,4,2,3,3,2,4,2,1,3,1,4,3,3,4,3,2,2,2,2,3,2,3,4,3,3,3,3,4,3,3,3,3,4,3,4,3,4,4,2,2,2,1,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,4,2.6,3.25,3.20833333333333
134,2,1,2,3,3,4,3,3,5,5,4,4,3,3,4,4,2,2,2,3,2,2,2,2,3,3,3,3,5,3,5,5,2,3,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,1,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,5,4,2.8,2.75,3.625
135,2,1,3,1,3,3,3,3,2,4,3,2,2,3,3,3,1,1,1,2,2,1,1,1,3,3,3,3,2,3,2,2,1,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,3,4,4,4,4,4,3,3,3,3,5,5,5,4,1.9,2.83333333333333,3.29166666666667
136,2,1,4,1,3,2,4,4,3,3,4,4,4,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,4,4,3,2,3,3,3,2,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,5,2.5,3.08333333333333,3
137,2,1,3,2,3,3,3,5,3,3,3,3,2,2,2,2,3,2,2,2,3,2,2,3,4,3,3,4,3,3,3,3,2,3,2,3,4,4,4,4,2,4,2,3,4,3,4,3,3,2,1,2,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,2,2,3,2,2.75,3.41666666666667,2.79166666666667
138,2,1,3,2,4,3,4,4,4,3,3,4,4,2,3,3,3,3,2,2,2,2,3,3,4,4,3,4,4,4,2,4,3,3,3,3,2,3,3,2,3,2,2,3,4,3,4,4,4,4,4,3,2,1,2,2,3,4,3,3,3,4,4,4,4,5,4,4,3,3,3,3,3.05,2.91666666666667,3.29166666666667
139,3,2,3,2,3,3,3,3,2,4,4,3,2,3,2,2,1,1,1,2,4,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,2,4,4,2,4,2,2,3,3,3,3,3,3,2,1,3,1,1,1,3,3,4,4,3,3,3,3,3,3,3,3,5,4,5,5,2.75,2.91666666666667,3
140,2,2,3,2,4,4,5,4,3,4,3,3,3,3,3,3,2,2,2,3,1,2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,4,3,3,3,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,5,4,5,5,5,2.45,3.25,3.41666666666667
141,2,1,3,1,4,3,3,3,3,2,2,3,3,2,2,3,2,2,2,2,1,1,3,1,3,3,3,3,2,2,4,2,2,2,4,4,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,5,2.4,2.75,3.08333333333333
142,2,1,4,2,4,3,3,4,5,4,3,3,3,3,3,4,2,2,1,3,2,1,2,2,5,5,5,5,2,2,2,2,1,2,2,2,1,3,3,4,4,3,3,2,3,3,3,3,3,2,2,1,4,4,4,4,5,4,3,4,4,4,3,4,5,4,4,4,5,5,4,5,2.5,2.91666666666667,3.79166666666667
143,2,2,3,1,4,3,3,4,3,2,3,3,3,2,2,3,3,2,3,2,3,2,1,1,4,3,4,3,3,3,3,3,2,2,2,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,3,3,3,3,4,3,4,3,3,3,3,3,4,4,3,3,2.55,3.75,3.125
144,2,1,4,1,3,4,4,4,3,3,2,3,3,4,3,3,2,2,2,2,1,3,1,3,4,3,4,4,2,2,2,2,4,4,3,4,3,3,3,3,2,4,3,2,4,4,4,5,3,3,3,1,2,2,2,3,3,3,2,3,4,4,4,4,5,3,5,4,4,5,4,3,2.7,3.33333333333333,3.29166666666667
145,2,1,3,2,3,3,4,4,3,3,3,3,3,2,4,3,1,2,2,2,1,1,1,1,5,5,3,3,2,2,1,2,2,2,3,2,3,3,4,3,2,3,3,3,4,4,3,4,2,3,2,2,2,3,2,2,4,4,4,3,3,4,4,3,4,5,4,5,4,4,4,4,2.15,3.25,3.375
146,2,1,3,1,2,2,3,3,3,2,3,3,2,3,2,3,3,2,2,3,1,2,1,1,3,2,2,2,2,2,2,2,3,2,3,3,4,4,4,4,2,4,1,3,4,4,3,4,4,4,3,4,2,2,2,2,4,3,4,4,3,3,4,3,3,3,5,5,2,2,1,2,2.15,3.41666666666667,3.08333333333333
147,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,4,3,3,4,1,2,2,2,2,2,1,2,2,3,2,3,3,2,2,2,3,3,3,3,3,2,3,1,2,1,2,1,4,4,3,4,4,3,4,4,3,3,3,4,2,3,5,5,2.2,2.58333333333333,3.04166666666667
148,2,1,4,1,3,2,2,2,2,2,2,3,4,3,2,2,1,2,1,2,2,2,2,2,3,3,4,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,3,2.2,2.58333333333333,3.75
149,2,2,3,2,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,2,3,3,2,1,2,2,1,4,3,4,4,3,4,4,3,3,3,4,3,2,2,2,1,2,2,2,2,3,4,3,3,4,4,4,3,3,3,3,4,3,4,3,4,2.75,3.5,2.91666666666667
150,2,1,3,1,3,2,3,2,5,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,2,2,1,2,2,2,3,3,4,3,4,4,3,3,4,3,3,2,3,3,2,3,2,3,3,2,3,2,3,4,3,3,3,3,3,5,5,3,4,5,4,3,2.55,3.25,3.20833333333333
151,3,1,3,2,3,3,3,5,2,3,3,3,3,3,2,3,1,2,2,2,2,3,3,3,3,3,3,3,2,1,1,2,1,2,2,2,3,4,4,5,2,2,2,2,3,3,3,3,2,2,3,1,2,2,2,2,2,3,3,4,3,4,4,4,4,3,3,4,2,2,5,3,2.15,3,2.875
152,1,1,3,2,2,3,3,3,4,4,4,4,4,4,3,3,1,2,3,3,2,2,1,2,3,3,3,3,3,3,3,3,2,3,4,4,2,2,4,4,2,3,3,1,4,4,4,4,1,3,3,3,2,3,2,2,4,5,4,3,4,4,4,4,4,5,4,4,3,3,4,3,2.65,3.08333333333333,3.375
153,2,1,3,1,2,3,3,3,2,4,3,4,3,4,4,3,2,2,2,1,2,2,2,3,4,4,4,4,2,2,2,2,1,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,3,3,3,3,2,1,1,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,2.5,3.41666666666667,2.875
154,3,2,2,1,3,4,3,3,2,4,3,4,4,3,1,1,4,3,4,4,2,2,1,2,5,3,3,3,2,2,1,2,2,3,2,3,4,2,3,2,2,2,2,3,4,3,4,4,3,3,2,3,3,4,4,2,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,2.65,2.91666666666667,3.25
155,3,2,3,1,4,3,3,3,3,2,3,3,3,2,2,1,2,3,2,2,2,2,3,2,3,4,3,3,2,2,2,2,2,2,2,2,2,4,2,3,2,3,3,4,4,3,3,3,3,2,3,1,1,1,2,3,3,4,4,4,4,4,3,4,5,4,4,5,4,5,4,5,2.35,3,3.41666666666667
156,3,2,3,2,3,3,2,4,2,3,4,4,3,3,2,2,2,1,1,2,1,1,1,1,3,3,3,3,2,2,1,2,2,2,2,1,4,3,4,4,2,5,4,3,4,3,3,3,3,3,3,1,1,3,2,2,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3,3,1.8,3.5,2.91666666666667
157,3,2,3,2,3,2,2,2,4,2,2,2,2,2,3,3,3,3,3,3,2,3,2,2,5,5,5,5,2,3,3,2,2,4,3,3,4,3,3,3,2,2,3,3,3,3,3,3,3,2,3,4,2,3,3,2,3,3,3,3,3,3,3,3,4,5,5,4,5,4,5,4,3.15,2.91666666666667,3.41666666666667
158,3,2,3,2,4,3,2,2,2,2,3,3,2,2,3,2,1,1,1,1,3,1,2,2,3,3,3,3,1,1,2,1,3,3,3,2,3,3,3,4,2,2,2,3,3,4,3,3,3,2,3,2,1,3,3,2,4,4,4,4,3,4,4,4,3,3,3,3,5,5,4,5,2,2.91666666666667,3.375
159,3,2,3,1,3,3,4,2,3,3,3,3,2,3,2,2,3,2,1,2,3,3,2,2,3,4,3,4,1,2,1,3,2,2,1,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,4,4,3,3,4,4,4,4,4,4,5,4,5,5,4,5,2.3,3.33333333333333,3.58333333333333
160,3,1,3,1,5,4,3,3,3,2,3,3,3,2,3,3,2,2,1,2,1,1,2,1,4,3,4,4,3,2,3,2,2,2,3,2,2,2,4,4,1,3,4,3,3,3,3,3,3,3,3,4,2,3,4,2,4,4,4,4,4,4,4,3,4,5,3,4,4,5,4,3,2.3,2.91666666666667,3.625
161,3,2,3,1,5,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,2,4,4,4,4,4,3,3,3,2,2,2,2,3,3,3,3,3,4,2,2,3,4,4,3,3,3,3,1,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,3,3,2.75,3.08333333333333,3.375
162,3,2,3,1,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,3,3,3,4,4,2,3,2,3,2,1,2,2,3,3,2,3,2,2,4,3,3,3,2,3,2,4,4,2,3,3,4,4,4,4,4,4,4,4,3,4,3,3,5,5,4,5,2.5,2.66666666666667,3.625
163,1,1,2,3,4,3,4,4,3,5,4,3,4,3,3,3,4,4,4,4,2,2,2,2,3,4,3,4,2,2,3,1,2,2,2,1,4,4,3,4,3,3,2,2,4,4,4,3,3,3,3,1,3,3,3,2,4,4,4,4,3,3,3,2,4,4,3,5,5,5,4,4,2.65,3.33333333333333,3.41666666666667
164,1,1,3,2,4,4,3,4,3,5,4,4,3,3,3,4,4,4,3,3,1,3,1,2,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4,3,3,3,2,3,4,3,2,3,3,3,3,5,4,4,4,3,4,4,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3.2,3,3.16666666666667
165,3,2,3,1,5,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,3,2,2,2,3,3,3,2,2,2,2,3,3,4,2,3,4,5,3,3,3,3,3,3,2,1,1,1,2,3,4,4,4,3,3,3,4,4,4,4,5,4,4,5,2.6,3,3.20833333333333
166,2,2,2,2,4,5,5,3,4,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,1,1,4,3,3,4,3,4,4,4,4,3,3,3,3,4,5,5,4,5,2.15,3.25,3.45833333333333
167,2,1,3,2,5,3,4,3,5,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,2,2,2,4,4,4,4,2,3,2,2,4,3,3,3,2,3,2,2,3,3,3,3,3,4,4,4,4,4,4,4,3,3,2,3,4,4,5,4,2,3.16666666666667,3.33333333333333
168,3,1,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,4,3,4,4,3,3,3,3,2,4,3,4,3,2,3,4,4,4,3,3,3,3,3,2,2,1,1,1,3,4,3,3,4,4,4,4,4,3,4,4,4,5,4,4,2.65,3.25,3.20833333333333
169,3,2,3,2,4,4,4,5,5,3,4,4,3,2,2,2,2,2,2,2,3,3,2,2,4,4,5,5,2,2,2,3,2,2,2,1,4,2,4,1,4,2,1,2,5,4,4,4,3,2,2,3,4,4,4,4,3,4,4,3,3,4,3,3,2,3,3,3,3,5,4,3,2.6,3.08333333333333,3.29166666666667
170,3,2,3,2,5,4,4,5,5,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,4,3,2,2,2,3,3,2,3,3,3,5,3,3,3,1,3,3,2,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,5,4,3,4,4,4,5,3,2.5,3.25,3.25
171,3,2,3,2,4,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,3,3,4,4,3,3,3,1,2,2,2,1,3,3,5,3,4,4,4,2,4,4,4,5,4,4,4,4,2,1,1,1,3,4,3,3,3,3,3,3,3,4,4,4,4,5,4,3,2.3,3.75,3.20833333333333
172,3,1,3,2,4,3,4,4,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,5,3,5,5,2,2,1,2,2,2,2,2,4,4,4,4,1,2,1,2,4,4,5,5,2,3,2,3,4,4,4,4,4,4,3,3,4,4,4,5,4,4,4,4,3,4,5,3,2.75,3.33333333333333,3.66666666666667
173,3,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,4,2,3,2,2,3,3,3,2,3,4,4,4,4,4,3,3,3,3,4,1,1,2,2,1,3,3,3,3,3,3,3,3,4,4,4,4,5,4,5,4,2.5,3.33333333333333,3.125
174,3,2,3,2,4,3,4,4,3,3,3,3,3,2,3,3,3,2,2,2,1,2,3,2,4,4,4,4,1,3,2,2,2,2,2,3,4,4,4,3,2,3,2,2,5,5,5,5,3,4,4,4,1,2,1,1,4,3,3,3,3,3,3,4,5,3,4,4,3,3,3,3,2.5,3.66666666666667,3.08333333333333
175,2,2,3,3,3,5,4,4,5,2,3,2,3,3,3,2,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,2,2,2,1,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,1,3,2,3,3,3,3,3,4,4,4,4,2,2,2,2,3,3,4,3,2.35,2.75,2.79166666666667
176,2,2,3,3,4,5,4,4,3,2,3,3,3,2,2,3,2,3,2,3,2,2,2,2,3,5,3,3,3,3,2,3,2,2,3,3,3,3,2,4,3,3,2,3,2,3,3,3,2,2,1,4,1,2,3,1,3,4,3,3,3,3,3,3,2,2,2,4,3,5,4,3,2.65,2.83333333333333,2.75
177,3,1,3,2,4,2,4,3,2,3,3,3,3,2,3,4,2,1,1,2,2,2,3,3,3,4,4,4,3,2,2,3,2,3,2,2,2,2,2,3,3,2,2,3,4,4,4,3,2,2,3,1,2,1,1,1,3,3,3,3,4,4,3,4,5,4,4,3,3,4,4,3,2.5,2.83333333333333,2.91666666666667
178,3,2,2,2,3,3,4,4,3,3,1,3,3,2,3,2,4,3,4,4,2,2,2,2,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,4,4,2,3,3,3,4,4,2,2,2,3,2,3,3,4,3,3,3,2,3,3,1,5,3,3,3,3,2.7,3.16666666666667,2.91666666666667
179,3,2,3,2,4,4,3,3,4,3,4,3,4,4,3,3,3,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,3,1,2,5,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,5,4,5,4,5,4,5,4,5,5,5,3,2.4,2.5,3.75
180,3,2,3,2,5,5,5,5,4,4,3,4,4,4,3,3,2,2,3,3,2,1,2,1,3,4,3,4,2,3,3,3,2,2,1,2,2,4,3,4,3,4,3,2,4,4,3,3,3,4,4,4,2,2,2,2,3,4,3,4,4,4,4,4,4,4,4,3,4,4,5,5,2.4,3.25,3.58333333333333
181,3,2,3,2,4,4,3,3,3,2,3,2,2,2,2,3,1,2,2,2,2,2,3,2,3,3,4,3,2,2,2,2,3,3,3,2,4,4,5,4,4,3,3,3,3,3,5,5,5,5,3,4,4,4,4,4,3,3,3,3,3,3,3,3,5,4,5,3,5,5,4,3,2.4,3.83333333333333,3.79166666666667
182,4,2,3,2,4,4,4,3,4,4,2,3,3,1,2,2,2,4,4,4,4,3,4,4,3,3,4,4,3,3,4,3,2,2,2,1,3,2,2,2,2,3,3,2,4,4,4,4,4,4,4,5,3,3,3,3,4,4,5,4,3,4,4,3,5,4,5,4,3,3,3,3,3.15,2.91666666666667,3.75
183,1,2,3,2,3,5,4,5,3,3,4,2,2,4,3,2,3,3,2,2,2,2,2,2,3,4,4,4,2,2,3,2,2,2,2,2,4,4,4,4,3,3,3,5,4,4,3,3,2,3,2,2,1,1,3,2,3,3,3,4,3,3,3,2,4,4,3,4,2,4,3,3,2.5,3.66666666666667,2.79166666666667
184,1,1,3,2,5,5,3,4,3,2,2,2,3,4,3,2,4,4,4,2,2,2,2,2,3,3,2,2,1,2,3,2,4,4,5,2,4,5,5,5,2,3,3,2,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,4,4,3,4,2,4,3,3,4,4,4,3,2.75,3.75,3.20833333333333
185,1,2,3,2,5,3,5,5,3,2,3,2,4,4,4,3,2,3,3,3,2,2,1,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,4,3,2,3,1,3,2,3,1,1,2,2,3,3,3,3,4,4,4,4,3,3,3,3,2,3,4,3,2.55,2.75,2.79166666666667
186,4,1,3,2,3,5,4,4,3,2,2,3,2,2,2,1,1,2,2,2,4,3,3,3,4,4,4,4,4,4,2,4,2,1,2,2,3,3,3,4,3,4,3,2,3,3,3,2,4,4,4,5,2,2,2,2,3,4,3,4,4,4,4,4,4,3,4,4,5,4,5,5,2.85,3,3.70833333333333
187,4,2,3,3,3,3,4,5,3,3,3,3,3,3,3,3,1,1,2,2,2,1,1,1,3,2,4,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,4,3,3,3,2,2,1,2,1,1,1,1,5,5,5,5,3,4,4,3,2,2,2,3,3,4,4,4,2,2.83333333333333,2.875
188,1,2,3,2,5,4,5,5,4,3,5,4,4,3,3,4,2,1,2,2,1,1,2,2,3,3,4,5,2,5,3,5,3,4,4,2,3,4,4,4,3,3,3,2,4,4,3,4,2,2,3,1,2,2,1,1,3,3,3,3,3,3,3,3,4,2,5,5,4,5,4,3,2.8,3.41666666666667,2.91666666666667
189,4,1,3,2,4,4,3,5,3,3,3,2,3,3,2,3,1,1,2,2,3,3,3,3,5,5,5,5,2,2,2,3,1,4,4,4,2,2,2,2,2,2,2,3,4,4,3,3,2,2,3,2,2,1,1,1,3,3,3,3,4,4,4,4,5,4,5,4,4,5,5,5,3,2.58333333333333,3.29166666666667
190,4,2,3,1,4,3,3,4,4,3,2,3,2,2,3,2,2,2,1,1,1,2,2,2,3,3,1,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,4,4,3,3,3,2,2,1,1,2,2,1,3,3,4,4,4,3,3,3,4,4,4,4,3,4,4,5,1.95,2.66666666666667,3.04166666666667
191,4,2,3,1,4,4,2,4,3,2,3,2,1,3,2,3,3,3,3,3,2,2,2,2,4,4,4,4,3,3,3,2,3,2,1,2,3,2,4,3,2,3,2,3,3,5,5,5,3,2,2,1,2,2,3,3,4,5,5,5,3,3,3,4,4,5,5,4,5,4,5,4,2.75,3.33333333333333,3.58333333333333
192,4,2,3,2,3,4,3,4,3,2,2,3,2,3,2,2,2,2,2,3,2,3,3,2,4,4,4,4,3,3,2,3,2,2,2,3,3,3,4,3,2,2,2,2,4,4,4,3,4,4,4,4,2,1,1,1,4,4,4,4,4,4,4,4,5,2,4,2,3,3,3,3,2.75,3,3.25
193,4,2,3,2,4,3,3,4,3,3,2,3,3,3,2,3,2,2,2,1,2,2,2,2,2,3,3,3,2,3,2,3,3,2,3,2,3,3,3,3,3,2,3,2,4,3,3,4,4,4,4,3,1,1,2,3,4,3,4,4,3,4,4,4,4,2,4,2,5,5,4,4,2.3,3,3.41666666666667
194,4,2,3,1,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,2,2,5,3,5,5,2,2,2,2,3,3,3,3,3,4,3,4,2,2,2,2,4,4,4,4,3,3,3,4,1,3,2,2,5,5,5,5,3,3,4,3,4,4,4,4,5,3,3,3,2.9,3.16666666666667,3.5
195,1,2,3,2,5,4,4,3,4,2,2,2,1,2,3,1,3,3,4,4,2,2,2,1,3,3,4,4,2,4,2,2,3,3,2,1,4,2,3,3,5,4,4,4,5,5,5,5,3,2,1,2,2,2,2,2,4,4,3,4,3,3,3,4,4,4,2,5,4,4,5,4,2.7,4.08333333333333,3.16666666666667
196,3,2,3,2,3,3,2,2,3,2,2,2,2,2,3,3,2,2,1,2,2,3,3,3,2,3,4,3,2,2,2,4,2,2,2,2,3,2,3,4,3,2,3,2,5,5,4,5,3,3,3,3,1,3,1,2,4,4,4,2,4,4,4,5,4,4,4,5,3,3,3,3,2.4,3.41666666666667,3.29166666666667
197,4,2,4,1,4,5,4,4,3,3,3,2,3,2,2,3,2,1,2,2,1,1,1,1,3,3,3,3,4,2,4,2,2,2,1,2,2,2,3,4,3,3,3,2,3,4,4,4,3,3,3,3,3,2,1,2,5,5,4,5,5,4,5,4,5,2,5,5,5,4,5,4,2.1,3.08333333333333,3.83333333333333
198,1,1,3,3,5,3,5,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,2,2,3,3,3,2,4,4,4,4,2,1,1,2,2,4,4,4,2,2,3,2,4,4,3,4,3,3,3,4,4,4,4,4,2,3,3,3,4,4,4,3,3,3,4,4,5,4,4,5,2.35,3.16666666666667,3.625
199,4,2,4,2,5,3,4,3,3,2,2,3,2,2,3,3,3,2,3,2,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,3,4,2,3,3,3,4,4,4,4,4,5,5,5,4,2,2,2,3,4,4,3,4,4,4,4,4,3,3,3,4,4,3,4,5,2.7,3.41666666666667,3.66666666666667
200,2,2,3,2,5,5,5,3,3,4,3,3,3,3,4,3,2,3,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2,2,2,3,3,4,3,4,4,4,4,4,4,5,5,5,2,2,3,2,1,2,2,2,4,4,4,4,3,3,3,4,4,4,3,3,2,4,5,3,2.35,4.08333333333333,3.04166666666667
201,2,1,3,1,5,4,3,3,3,3,3,2,3,1,2,1,1,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,1,3,2,3,4,4,3,3,2,3,2,2,3,2,2,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,5,4,2.3,2.83333333333333,3.375
202,2,2,3,2,4,3,3,3,3,2,3,3,3,2,1,3,2,2,2,2,2,1,2,1,3,3,3,4,2,2,2,2,2,3,3,2,3,3,3,3,4,4,4,5,5,5,5,5,3,3,2,3,3,3,3,3,4,4,4,4,4,3,3,5,4,4,4,4,2,4,3,1,2.25,4.08333333333333,3.33333333333333
203,2,1,4,1,2,2,4,4,2,3,3,2,3,1,4,1,2,2,2,2,3,3,2,2,4,4,4,5,3,3,3,2,2,2,2,2,3,3,3,3,2,2,3,2,3,5,2,3,2,2,3,1,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,2,3,2,3,2.7,2.83333333333333,2.625
204,2,2,2,3,5,5,2,2,3,3,4,4,4,3,4,3,2,2,2,2,2,2,2,2,3,2,2,2,3,4,4,4,2,2,3,3,2,3,4,3,4,4,4,4,3,3,2,2,3,3,2,2,1,2,2,2,3,3,4,4,3,3,3,4,3,3,3,3,2,5,1,1,2.5,3.16666666666667,2.70833333333333
205,2,2,3,2,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,2,2,2,2,3,3,3,3,2,4,4,2,3,2,2,3,3,2,4,3,2,3,3,3,4,4,4,4,3,3,3,4,1,2,3,1,4,3,3,4,4,4,5,5,3,3,3,3,2,2,2,2,2.9,3.25,3
206,2,2,3,1,5,3,4,4,3,3,3,3,2,3,3,4,1,1,1,1,2,2,2,3,4,4,4,4,2,2,2,4,2,2,2,2,3,3,3,3,2,3,2,1,4,4,4,4,3,3,3,3,3,1,3,1,4,4,3,4,3,3,3,3,4,4,4,5,4,5,5,5,2.35,3,3.45833333333333
207,2,1,3,2,4,3,3,3,4,3,3,3,4,3,3,2,4,4,4,4,2,1,2,1,2,2,3,2,3,2,3,3,2,2,2,3,3,5,5,3,2,3,3,3,4,2,3,4,2,2,2,1,1,3,1,3,3,4,2,3,4,4,3,3,3,3,3,3,2,2,2,2,2.55,3.33333333333333,2.54166666666667
208,2,2,3,1,5,3,3,4,5,2,2,3,3,4,3,3,3,2,1,2,1,2,2,1,4,4,4,4,3,3,3,3,4,4,2,2,3,2,3,4,3,3,3,4,5,5,5,3,3,2,3,2,3,3,1,1,3,3,3,3,4,4,4,3,4,3,3,3,4,5,4,5,2.7,3.58333333333333,3.16666666666667
209,1,2,3,1,4,3,3,5,4,3,4,4,4,1,2,1,3,3,3,3,1,1,1,1,4,4,3,4,2,2,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,4,2,4,3,4,3,2.45,2.75,2.75
210,4,2,3,3,5,5,5,3,2,3,4,4,4,2,2,1,3,2,3,2,1,1,2,3,3,3,3,3,5,5,5,5,2,2,3,2,3,2,3,4,3,3,4,4,4,3,3,3,2,3,2,3,2,2,2,3,4,3,3,3,3,3,5,4,3,3,3,4,2,2,3,3,2.9,3.25,2.91666666666667
211,3,2,3,1,5,5,5,4,3,2,1,1,1,3,2,2,2,3,2,3,2,1,2,1,4,3,4,3,2,3,3,3,2,3,2,3,3,3,3,3,4,4,1,4,2,3,3,3,4,4,4,4,3,1,2,3,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2.55,3,3.20833333333333
